Subject,Educ,Income2005
1007,12,"$125,000.00 "
1011,12,"$45,000.00 "
1029,12,"$17,000.00 "
1042,12,"$26,000.00 "
1043,12,"$16,000.00 "
1044,12,"$25,000.00 "
1048,12,"$13,000.00 "
1056,12,"$24,000.00 "
1060,12,"$12,000.00 "
1062,12,"$115,000.00 "
1063,12,"$20,518.00 "
1065,12,"$20,160.00 "
1071,12,"$12,649.00 "
1080,12,"$7,500.00 "
1085,12,"$36,000.00 "
1092,12,"$15,000.00 "
1096,12,"$48,000.00 "
1111,12,"$44,000.00 "
1114,12,"$50,000.00 "
1118,12,"$80,000.00 "
1130,12,"$5,000.00 "
1141,12,"$30,000.00 "
1147,12,"$6,500.00 "
1156,12,"$25,000.00 "
1169,12,"$130,000.00 "
1179,12,"$35,000.00 "
1221,12,"$16,200.00 "
1222,12,"$38,000.00 "
1237,12,"$24,000.00 "
1247,12,"$8,000.00 "
1249,12,"$80,000.00 "
1250,12,"$17,000.00 "
1251,12,"$31,000.00 "
1253,12,"$21,600.00 "
1257,12,"$23,000.00 "
1272,12,"$39,000.00 "
1312,12,"$18,000.00 "
1319,12,"$43,000.00 "
1327,12,"$53,000.00 "
1351,12,"$13,000.00 "
1353,12,"$20,000.00 "
1357,12,"$38,000.00 "
1360,12,"$27,000.00 "
1366,12,"$29,800.00 "
1383,12,"$80,000.00 "
1384,12,"$26,000.00 "
1386,12,"$52,000.00 "
1397,12,"$45,000.00 "
1416,12,"$12,000.00 "
1417,12,"$31,000.00 "
1418,12,"$41,000.00 "
1419,12,"$22,000.00 "
1425,12,"$38,000.00 "
1426,12,"$38,685.00 "
1438,12,"$27,000.00 "
1462,12,"$28,600.00 "
1468,12,"$29,000.00 "
1490,12,"$25,000.00 "
1493,12,"$245,549.00 "
1495,12,"$15,000.00 "
1499,12,"$16,000.00 "
1500,12,"$50,000.00 "
1506,12,"$42,000.00 "
1507,12,"$22,000.00 "
1515,12,"$67,000.00 "
1516,12,"$23,300.00 "
1521,12,"$41,000.00 "
1527,12,"$28,000.00 "
1531,12,"$26,000.00 "
1532,12,"$17,407.00 "
1534,12,"$52,000.00 "
1539,12,"$30,000.00 "
1541,12,"$41,400.00 "
1551,12,"$19,000.00 "
1553,12,"$40,000.00 "
1554,12,"$59,000.00 "
1556,12,"$32,176.00 "
1560,12,"$19,000.00 "
1577,12,"$59,000.00 "
1580,12,"$56,000.00 "
1585,12,"$60,000.00 "
1590,12,"$16,000.00 "
1591,12,"$7,000.00 "
1592,12,"$10,000.00 "
1593,12,"$17,000.00 "
1595,12,"$120,000.00 "
1597,12,"$52,000.00 "
1599,12,"$24,000.00 "
1602,12,"$90,000.00 "
1605,12,"$40,000.00 "
1607,12,"$19,200.00 "
1608,12,"$11,040.00 "
1610,12,"$18,000.00 "
1617,12,"$20,000.00 "
1627,12,"$20,000.00 "
1629,12,"$100,000.00 "
1635,12,"$40,000.00 "
1636,12,"$56,000.00 "
1637,12,"$15,000.00 "
1640,12,"$48,000.00 "
1641,12,"$110,000.00 "
1651,12,"$153,334.00 "
1656,12,"$33,000.00 "
1721,12,"$80,000.00 "
1729,12,"$24,000.00 "
1750,12,"$44,000.00 "
1768,12,"$8,000.00 "
1769,12,"$29,515.00 "
1786,12,"$46,800.00 "
1788,12,"$56,856.00 "
1790,12,"$34,000.00 "
1802,12,"$27,915.00 "
1826,12,"$45,000.00 "
1835,12,"$40,000.00 "
1838,12,"$17,000.00 "
1839,12,"$18,000.00 "
1860,12,"$29,000.00 "
1862,12,$900.00 
1863,12,"$20,000.00 "
1865,12,"$28,000.00 "
1866,12,"$25,000.00 "
1867,12,"$52,000.00 "
1869,12,"$14,000.00 "
1872,12,"$35,000.00 "
1873,12,"$22,000.00 "
1878,12,"$8,000.00 "
1881,12,"$40,000.00 "
1884,12,"$12,500.00 "
1887,12,"$11,000.00 "
1890,12,"$18,000.00 "
1891,12,"$26,800.00 "
1899,12,"$32,000.00 "
1902,12,"$40,574.00 "
1904,12,"$26,000.00 "
1905,12,"$45,000.00 "
1910,12,"$55,000.00 "
1917,12,"$48,000.00 "
1918,12,"$68,000.00 "
1925,12,"$44,000.00 "
1926,12,"$16,000.00 "
1927,12,"$21,455.00 "
1947,12,"$16,000.00 "
1957,12,"$47,000.00 "
1959,12,"$36,000.00 "
1961,12,"$100,000.00 "
1962,12,"$25,000.00 "
1963,12,"$67,000.00 "
1964,12,"$30,000.00 "
1965,12,"$25,000.00 "
1966,12,"$42,000.00 "
1971,12,"$65,000.00 "
1975,12,"$41,000.00 "
1977,12,"$50,000.00 "
1985,12,"$25,000.00 "
1988,12,"$46,000.00 "
1990,12,"$26,000.00 "
1996,12,"$32,000.00 "
1998,12,"$9,724.00 "
2002,12,"$12,000.00 "
2003,12,"$8,000.00 "
2012,12,"$32,000.00 "
2013,12,"$9,200.00 "
2014,12,"$27,000.00 "
2018,12,"$27,640.00 "
2020,12,"$26,000.00 "
2032,12,"$32,000.00 "
2033,12,"$157,117.00 "
2035,12,"$25,000.00 "
2045,12,"$30,000.00 "
2046,12,"$24,000.00 "
2055,12,"$30,000.00 "
2066,12,"$29,000.00 "
2067,12,"$60,000.00 "
2070,12,"$60,000.00 "
2072,12,"$4,000.00 "
2073,12,"$22,000.00 "
2074,12,"$58,000.00 "
2075,12,"$66,000.00 "
2076,12,"$39,144.00 "
2079,12,"$28,000.00 "
2080,12,"$17,000.00 "
2081,12,"$46,000.00 "
2086,12,"$27,000.00 "
2087,12,"$40,000.00 "
2089,12,"$40,000.00 "
2090,12,"$37,000.00 "
2093,12,"$48,000.00 "
2094,12,"$29,000.00 "
2097,12,"$71,000.00 "
2100,12,"$52,000.00 "
2101,12,"$90,000.00 "
2102,12,"$24,000.00 "
2104,12,"$34,500.00 "
2106,12,"$52,000.00 "
2122,12,"$26,000.00 "
2135,12,"$70,000.00 "
2138,12,"$36,000.00 "
2140,12,"$55,000.00 "
2146,12,"$14,000.00 "
2152,12,"$28,000.00 "
2153,12,"$12,000.00 "
2156,12,"$40,500.00 "
2157,12,"$24,000.00 "
2158,12,"$3,600.00 "
2165,12,"$12,000.00 "
2173,12,"$52,000.00 "
2180,12,"$40,000.00 "
2182,12,"$65,000.00 "
2196,12,"$5,280.00 "
2201,12,"$32,000.00 "
2203,12,"$22,500.00 "
2208,12,"$25,000.00 "
2216,12,"$43,000.00 "
2223,12,"$55,000.00 "
2225,12,"$56,000.00 "
2227,12,"$28,263.00 "
2229,12,"$33,000.00 "
2247,12,"$58,000.00 "
2250,12,"$20,000.00 "
2251,12,"$7,225.00 "
2261,12,"$32,000.00 "
2264,12,"$13,000.00 "
2266,12,"$15,000.00 "
2270,12,"$15,000.00 "
2271,12,"$13,000.00 "
2304,12,"$50,000.00 "
2313,12,"$25,000.00 "
2314,12,"$50,000.00 "
2316,12,"$30,000.00 "
2322,12,"$46,000.00 "
2326,12,"$44,000.00 "
2327,12,"$26,000.00 "
2334,12,"$37,500.00 "
2361,12,"$99,000.00 "
2380,12,"$22,000.00 "
2383,12,"$8,500.00 "
2394,12,"$60,000.00 "
2396,12,"$13,986.00 "
2400,12,"$24,024.00 "
2401,12,"$48,000.00 "
2404,12,"$28,800.00 "
2412,12,"$15,000.00 "
2413,12,"$40,000.00 "
2418,12,"$35,000.00 "
2420,12,"$7,500.00 "
2425,12,"$35,000.00 "
2427,12,"$75,000.00 "
2434,12,"$20,000.00 "
2435,12,"$35,000.00 "
2436,12,"$78,000.00 "
2439,12,"$32,000.00 "
2450,12,"$14,750.00 "
2451,12,"$23,100.00 "
2452,12,"$30,000.00 "
2459,12,"$4,560.00 "
2460,12,"$10,875.00 "
2470,12,"$46,500.00 "
2471,12,"$20,000.00 "
2473,12,"$42,000.00 "
2475,12,"$56,000.00 "
2478,12,"$20,376.00 "
2479,12,"$25,000.00 "
2483,12,"$29,000.00 "
2527,12,"$60,000.00 "
2528,12,"$6,000.00 "
2529,12,"$5,000.00 "
2530,12,"$27,000.00 "
2535,12,"$41,000.00 "
2537,12,"$13,100.00 "
2539,12,"$38,000.00 "
2540,12,"$25,000.00 "
2541,12,"$70,000.00 "
2547,12,"$52,000.00 "
2553,12,"$39,800.00 "
2556,12,"$19,000.00 "
2564,12,"$16,000.00 "
2574,12,"$32,000.00 "
2578,12,"$22,000.00 "
2579,12,"$26,350.00 "
2582,12,"$34,000.00 "
2584,12,"$44,000.00 "
2591,12,"$34,000.00 "
2592,12,"$22,800.00 "
2594,12,"$62,000.00 "
2610,12,"$25,000.00 "
2614,12,"$50,000.00 "
2615,12,"$17,000.00 "
2629,12,"$39,264.00 "
2650,12,"$15,000.00 "
2651,12,"$3,983.00 "
2652,12,"$31,658.00 "
2654,12,"$20,000.00 "
2658,12,"$8,000.00 "
2659,12,"$2,000.00 "
2665,12,"$24,000.00 "
2669,12,"$5,000.00 "
2670,12,"$23,500.00 "
2672,12,"$11,000.00 "
2679,12,"$3,890.00 "
2682,12,"$12,000.00 "
2689,12,"$30,000.00 "
2690,12,"$28,000.00 "
2699,12,"$8,000.00 "
2706,12,"$36,500.00 "
2707,12,"$24,000.00 "
2708,12,"$25,000.00 "
2709,12,"$16,257.00 "
2710,12,"$26,000.00 "
2711,12,"$30,620.00 "
2729,12,"$7,000.00 "
2732,12,"$33,955.00 "
2745,12,"$28,000.00 "
2748,12,"$25,000.00 "
2760,12,"$26,000.00 "
2772,12,"$21,000.00 "
2775,12,"$19,500.00 "
2780,12,"$32,000.00 "
2781,12,"$18,000.00 "
2797,12,"$50,000.00 "
2810,12,"$8,000.00 "
2811,12,"$25,000.00 "
2816,12,"$82,000.00 "
2829,12,"$32,000.00 "
2830,12,"$19,000.00 "
2832,12,"$48,000.00 "
2852,12,"$33,000.00 "
2858,12,"$56,000.00 "
2863,12,"$40,000.00 "
2864,12,"$22,000.00 "
2911,12,"$2,000.00 "
2912,12,"$15,000.00 "
2920,12,"$75,000.00 "
2921,12,"$60,000.00 "
2944,12,"$32,000.00 "
2974,12,"$89,000.00 "
2976,12,"$53,000.00 "
2977,12,"$40,000.00 "
2978,12,"$9,000.00 "
2990,12,"$5,000.00 "
2994,12,"$97,200.00 "
2995,12,"$24,000.00 "
2997,12,"$74,000.00 "
2998,12,"$42,000.00 "
3020,12,"$10,800.00 "
3023,12,"$30,000.00 "
3035,12,"$30,000.00 "
3036,12,"$52,000.00 "
3037,12,"$72,000.00 "
3039,12,"$65,000.00 "
3046,12,"$30,000.00 "
3051,12,"$17,000.00 "
3054,12,"$15,000.00 "
3055,12,"$30,000.00 "
3057,12,"$18,000.00 "
3065,12,"$25,000.00 "
3077,12,"$70,000.00 "
3079,12,"$30,000.00 "
3081,12,"$37,000.00 "
3082,12,"$25,000.00 "
3090,12,"$31,600.00 "
3094,12,"$2,200.00 "
3095,12,"$18,000.00 "
3100,12,"$50,000.00 "
3113,12,"$40,000.00 "
3118,12,"$28,000.00 "
3127,12,"$22,000.00 "
3134,12,"$6,000.00 "
3138,12,"$50,000.00 "
3151,12,"$47,000.00 "
3163,12,"$34,000.00 "
3177,12,"$55,000.00 "
3192,12,"$28,000.00 "
3194,12,"$40,000.00 "
3195,12,"$48,000.00 "
3196,12,"$72,000.00 "
3197,12,"$31,500.00 "
3199,12,"$29,500.00 "
3215,12,"$40,000.00 "
3221,12,"$67,000.00 "
3235,12,"$26,000.00 "
3236,12,"$3,000.00 "
3242,12,"$9,000.00 "
3246,12,"$49,400.00 "
3252,12,"$29,000.00 "
3254,12,"$26,800.00 "
3267,12,"$23,000.00 "
3273,12,"$24,000.00 "
3277,12,"$60,000.00 "
3285,12,"$30,000.00 "
3310,12,"$32,000.00 "
3324,12,"$96,000.00 "
3325,12,$300.00 
3329,12,"$45,000.00 "
3346,12,"$58,000.00 "
3347,12,"$40,000.00 "
3353,12,"$44,000.00 "
3374,12,"$68,000.00 "
3381,12,"$125,000.00 "
3389,12,"$60,000.00 "
3397,12,"$13,000.00 "
3403,12,"$120,000.00 "
3413,12,"$36,000.00 "
3417,12,"$8,000.00 "
3418,12,"$46,000.00 "
3444,12,"$19,200.00 "
3452,12,"$20,000.00 "
3455,12,"$61,200.00 "
3456,12,"$10,000.00 "
3465,12,"$35,000.00 "
3467,12,"$17,000.00 "
3471,12,"$40,000.00 "
3475,12,"$26,000.00 "
3479,12,"$80,000.00 "
3487,12,"$39,000.00 "
3491,12,"$13,000.00 "
3492,12,"$47,000.00 "
3493,12,"$40,000.00 "
3495,12,"$80,000.00 "
3502,12,"$41,000.00 "
3503,12,"$88,000.00 "
3508,12,"$18,000.00 "
3511,12,"$16,000.00 "
3513,12,"$27,000.00 "
3514,12,"$24,000.00 "
3522,12,$500.00 
3527,12,"$3,800.00 "
3537,12,"$26,000.00 "
3538,12,"$33,900.00 "
3543,12,"$18,000.00 "
3544,12,"$3,200.00 "
3549,12,"$1,500.00 "
3550,12,"$25,000.00 "
3553,12,"$55,000.00 "
3559,12,"$60,000.00 "
3561,12,"$42,000.00 "
3562,12,"$5,000.00 "
3563,12,"$34,000.00 "
3565,12,"$36,000.00 "
3569,12,"$42,000.00 "
3574,12,"$47,000.00 "
3575,12,"$56,000.00 "
3579,12,"$45,000.00 "
3580,12,"$36,000.00 "
3584,12,"$16,000.00 "
3589,12,"$50,987.00 "
3591,12,"$4,471.00 "
3592,12,"$56,000.00 "
3600,12,"$60,000.00 "
3611,12,"$15,000.00 "
3616,12,"$35,000.00 "
3620,12,"$32,000.00 "
3640,12,"$21,000.00 "
3649,12,"$29,400.00 "
3650,12,"$32,000.00 "
3660,12,"$23,400.00 "
3694,12,"$56,000.00 "
3697,12,"$5,000.00 "
3699,12,"$20,477.00 "
3708,12,"$144,000.00 "
3719,12,"$29,000.00 "
3721,12,"$52,000.00 "
3722,12,"$55,000.00 "
3723,12,"$16,000.00 "
3732,12,"$36,000.00 "
3735,12,"$60,000.00 "
3736,12,"$49,000.00 "
3737,12,"$58,000.00 "
3738,12,"$18,000.00 "
3739,12,"$16,000.00 "
3740,12,"$20,000.00 "
3741,12,"$9,300.00 "
3746,12,"$16,390.00 "
3751,12,"$45,000.00 "
3754,12,"$33,000.00 "
3760,12,"$33,000.00 "
3770,12,"$52,000.00 "
3780,12,"$55,000.00 "
3784,12,"$29,000.00 "
3789,12,"$52,000.00 "
3790,12,"$22,049.00 "
3796,12,"$34,000.00 "
3814,12,"$42,000.00 "
3819,12,"$15,000.00 "
3821,12,"$1,500.00 "
3822,12,"$5,000.00 "
3825,12,"$22,000.00 "
3829,12,"$167,803.00 "
3830,12,"$45,000.00 "
3833,12,"$40,000.00 "
3837,12,"$35,000.00 "
3838,12,"$85,000.00 "
3845,12,"$24,000.00 "
3846,12,"$52,000.00 "
3847,12,"$67,000.00 "
3850,12,"$32,000.00 "
3851,12,"$16,000.00 "
3852,12,"$14,000.00 "
3900,12,"$32,000.00 "
3929,12,"$10,000.00 "
3933,12,"$50,000.00 "
3938,12,"$22,000.00 "
3957,12,"$68,000.00 "
3958,12,"$40,000.00 "
3977,12,$600.00 
3994,12,"$26,000.00 "
4004,12,"$46,000.00 "
4013,12,"$36,000.00 "
4014,12,"$62,000.00 "
4022,12,"$90,000.00 "
4025,12,"$24,000.00 "
4028,12,"$24,500.00 "
4032,12,"$35,000.00 "
4036,12,"$52,000.00 "
4046,12,"$18,000.00 "
4048,12,"$25,000.00 "
4049,12,"$90,000.00 "
4062,12,"$52,000.00 "
4064,12,"$20,000.00 "
4065,12,"$9,000.00 "
4067,12,"$30,000.00 "
4071,12,"$15,000.00 "
4077,12,"$15,000.00 "
4085,12,"$11,000.00 "
4089,12,"$20,000.00 "
4090,12,"$58,000.00 "
4097,12,"$66,000.00 "
4103,12,"$36,500.00 "
4105,12,"$3,408.00 "
4112,12,"$5,700.00 "
4113,12,"$9,600.00 "
4114,12,"$34,000.00 "
4128,12,"$40,000.00 "
4130,12,"$32,500.00 "
4141,12,"$6,000.00 "
4142,12,"$20,000.00 "
4145,12,"$25,000.00 "
4159,12,"$30,000.00 "
4161,12,"$45,000.00 "
4163,12,"$29,000.00 "
4173,12,"$12,500.00 "
4175,12,"$26,000.00 "
4184,12,"$25,000.00 "
4196,12,"$23,000.00 "
4205,12,"$32,000.00 "
4216,12,"$48,000.00 "
4220,12,"$15,000.00 "
4222,12,"$23,031.00 "
4239,12,"$48,000.00 "
4240,12,"$50,000.00 "
4242,12,"$48,000.00 "
4249,12,"$26,000.00 "
4251,12,"$62,500.00 "
4263,12,"$16,000.00 "
4268,12,"$84,600.00 "
4274,12,"$11,550.00 "
4278,12,"$80,000.00 "
4279,12,"$150,000.00 "
4300,12,"$56,000.00 "
4303,12,"$32,000.00 "
4312,12,"$18,000.00 "
4314,12,"$30,000.00 "
4324,12,"$58,000.00 "
4326,12,"$13,200.00 "
4327,12,"$38,000.00 "
4333,12,"$20,000.00 "
4338,12,"$22,000.00 "
4339,12,"$12,000.00 "
4345,12,"$14,000.00 "
4374,12,"$30,000.00 "
4386,12,"$19,900.00 "
4390,12,"$34,000.00 "
4427,12,"$45,000.00 "
4459,12,"$9,000.00 "
4461,12,"$18,000.00 "
4469,12,"$31,200.00 "
4487,12,"$33,000.00 "
4496,12,"$47,000.00 "
4498,12,"$39,000.00 "
4505,12,"$25,000.00 "
4519,12,"$50,000.00 "
4520,12,"$40,000.00 "
4524,12,"$50,000.00 "
4538,12,"$40,000.00 "
4541,12,"$35,000.00 "
4543,12,"$1,800.00 "
4544,12,"$12,000.00 "
4557,12,"$6,580.00 "
4561,12,"$16,000.00 "
4563,12,"$60,000.00 "
4566,12,"$90,000.00 "
4569,12,"$85,000.00 "
4583,12,"$21,000.00 "
4586,12,"$38,154.00 "
4589,12,"$38,200.00 "
4594,12,"$25,000.00 "
4596,12,"$65,000.00 "
4601,12,"$30,000.00 "
4604,12,"$27,412.00 "
4619,12,"$9,500.00 "
4621,12,"$24,000.00 "
4623,12,"$62,000.00 "
4630,12,"$130,000.00 "
4637,12,"$25,000.00 "
4638,12,"$17,000.00 "
4641,12,"$18,000.00 "
4646,12,"$24,000.00 "
4676,12,"$45,000.00 "
4678,12,"$5,000.00 "
4680,12,"$14,000.00 "
4701,12,"$197,062.00 "
4707,12,"$72,000.00 "
4710,12,"$15,000.00 "
4711,12,"$40,000.00 "
4714,12,"$45,000.00 "
4716,12,"$58,000.00 "
4720,12,"$67,000.00 "
4722,12,"$35,000.00 "
4724,12,"$8,400.00 "
4732,12,"$21,424.00 "
4734,12,"$12,000.00 "
4746,12,"$36,000.00 "
4747,12,"$12,000.00 "
4752,12,"$42,000.00 "
4755,12,"$54,000.00 "
4759,12,"$62,000.00 "
4762,12,"$8,600.00 "
4764,12,"$55,000.00 "
4765,12,"$70,000.00 "
4770,12,"$31,000.00 "
4772,12,"$24,000.00 "
4774,12,"$4,800.00 "
4776,12,"$41,000.00 "
4777,12,"$22,000.00 "
4778,12,"$26,000.00 "
4779,12,"$27,000.00 "
4780,12,"$25,000.00 "
4788,12,"$66,000.00 "
4790,12,"$13,000.00 "
4804,12,"$12,000.00 "
4817,12,"$35,000.00 "
4818,12,"$21,000.00 "
4822,12,"$30,775.00 "
4849,12,"$20,000.00 "
4858,12,"$64,000.00 "
4864,12,"$8,575.00 "
4876,12,"$35,000.00 "
4879,12,"$26,500.00 "
4884,12,"$33,000.00 "
4888,12,"$38,083.00 "
4900,12,"$50,000.00 "
4906,12,"$7,300.00 "
4911,12,"$6,000.00 "
4914,12,"$29,000.00 "
4926,12,"$48,000.00 "
4934,12,"$25,000.00 "
4942,12,"$54,000.00 "
4945,12,"$35,000.00 "
4948,12,"$18,000.00 "
4952,12,"$26,000.00 "
4955,12,"$40,000.00 "
4966,12,"$32,000.00 "
4979,12,"$58,000.00 "
4983,12,"$8,000.00 "
4986,12,"$410,008.00 "
4992,12,"$30,000.00 "
5007,12,"$63,000.00 "
5041,12,"$14,000.00 "
5060,12,"$24,314.00 "
5085,12,"$9,600.00 "
5097,12,"$119,000.00 "
5106,12,"$120,000.00 "
5115,12,"$27,400.00 "
5131,12,"$21,213.00 "
5139,12,"$15,000.00 "
5145,12,"$36,000.00 "
5158,12,"$50,000.00 "
5159,12,"$1,200.00 "
5161,12,"$37,000.00 "
5162,12,"$100,000.00 "
5176,12,"$38,000.00 "
5179,12,"$23,000.00 "
5180,12,"$3,563.00 "
5184,12,"$38,000.00 "
5186,12,"$29,000.00 "
5189,12,"$27,000.00 "
5192,12,"$30,000.00 "
5194,12,"$32,000.00 "
5195,12,"$28,398.00 "
5208,12,"$25,000.00 "
5211,12,"$35,718.00 "
5219,12,"$83,000.00 "
5231,12,"$12,000.00 "
5236,12,"$8,400.00 "
5238,12,"$22,000.00 "
5247,12,"$26,000.00 "
5251,12,"$50,000.00 "
5252,12,"$9,000.00 "
5257,12,"$40,000.00 "
5258,12,"$33,800.00 "
5262,12,"$11,500.00 "
5268,12,"$11,548.00 "
5272,12,"$20,000.00 "
5278,12,"$55,000.00 "
5288,12,"$37,500.00 "
5291,12,"$47,500.00 "
5294,12,"$16,000.00 "
5301,12,"$29,479.00 "
5307,12,"$28,000.00 "
5311,12,"$10,000.00 "
5316,12,"$58,000.00 "
5317,12,"$7,200.00 "
5327,12,"$35,000.00 "
5338,12,"$21,939.00 "
5353,12,"$3,200.00 "
5356,12,"$36,800.00 "
5357,12,"$34,000.00 "
5362,12,"$56,000.00 "
5366,12,"$35,000.00 "
5376,12,"$12,000.00 "
5385,12,"$8,000.00 "
5401,12,"$35,000.00 "
5402,12,"$50,000.00 "
5417,12,"$196,680.00 "
5421,12,"$13,000.00 "
5435,12,"$36,000.00 "
5436,12,"$29,000.00 "
5440,12,"$38,000.00 "
5450,12,"$8,500.00 "
5451,12,"$50,000.00 "
5456,12,"$25,000.00 "
5470,12,"$43,000.00 "
5476,12,"$26,000.00 "
5484,12,$900.00 
5486,12,"$20,500.00 "
5491,12,"$52,000.00 "
5493,12,"$56,000.00 "
5494,12,"$29,800.00 "
5499,12,"$50,000.00 "
5502,12,"$16,000.00 "
5505,12,"$22,050.00 "
5508,12,"$20,000.00 "
5510,12,"$20,000.00 "
5514,12,"$10,000.00 "
5516,12,"$22,500.00 "
5521,12,"$18,560.00 "
5522,12,"$3,000.00 "
5524,12,"$1,300.00 "
5528,12,"$38,000.00 "
5531,12,"$110,000.00 "
5537,12,"$19,000.00 "
5538,12,"$15,000.00 "
5539,12,"$25,000.00 "
5544,12,"$10,056.00 "
5545,12,"$16,000.00 "
5546,12,"$32,000.00 "
5550,12,"$11,000.00 "
5551,12,"$29,000.00 "
5555,12,"$14,000.00 "
5558,12,"$45,000.00 "
5566,12,"$25,000.00 "
5572,12,"$31,000.00 "
5573,12,"$24,000.00 "
5575,12,"$15,785.00 "
5576,12,"$34,000.00 "
5580,12,"$47,000.00 "
5581,12,"$22,000.00 "
5585,12,"$54,000.00 "
5607,12,"$30,000.00 "
5613,12,"$30,000.00 "
5614,12,"$26,000.00 "
5616,12,"$35,000.00 "
5617,12,"$20,000.00 "
5625,12,"$40,000.00 "
5626,12,"$52,000.00 "
5637,12,"$52,000.00 "
5640,12,"$30,000.00 "
5646,12,"$33,000.00 "
5653,12,"$52,000.00 "
5668,12,"$60,000.00 "
5669,12,"$38,000.00 "
5671,12,"$20,000.00 "
5677,12,"$72,000.00 "
5684,12,"$12,000.00 "
5694,12,"$42,000.00 "
5696,12,"$72,000.00 "
